District Name,School Code,School Name,SBE District,EVAAS Growth Status,Percent Participation,ACT Percent,ACT WorkKeys Percent,Passing Math III Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project
State of North Carolina,NC,State of North Carolina,,,94.9,59.9,73.5,95.0,85.9,87.5,
Alamance-Burlington Schools,010,Alamance-Burlington Schools,Piedmont Triad Region,,92.0,51.3,69.1,92.7,81.0,84.7,
Alamance-Burlington Schools,010303,Alamance-Burlington Middle College,Piedmont Triad Region,Met,100.0,82.8,,95.0,95.0,95.0,N
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont Triad Region,Met,92.6,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,Piedmont Triad Region,,,,,,,,N
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont Triad Region,Met,84.2,56.7,90.8,90.5,82.6,87.6,N
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010348,Graham High,Piedmont Triad Region,Met,90.0,31.6,69.8,95.0,83.1,84.4,N
Alamance-Burlington Schools,010350,Graham Middle,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010354,Harvey R Newlin Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010357,Haw River Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010358,Hillcrest Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont Triad Region,Exceeded,83.9,38.4,70.8,91.5,72.5,74.2,N
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010364,North Graham Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010372,Pleasant Grove Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont Triad Region,NotMet,66.7,,,,,,N
Alamance-Burlington Schools,010380,South Graham Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont Triad Region,Exceeded,100.0,,,,,,
Alamance-Burlington Schools,010388,Southern High,Piedmont Triad Region,Exceeded,94.3,52.9,63.8,92.4,82.7,86.4,N
Alamance-Burlington Schools,010390,Southern Middle,Piedmont Triad Region,NotMet,100.0,,,,,,
Alamance-Burlington Schools,010392,Sylvan Elementary,Piedmont Triad Region,Met,100.0,,,,,,
Alamance-Burlington Schools,010394,Turrentine Middle,Piedmont Triad Region,NotMet,100.0,,,,,,
Alamance-Burlington Schools,010396,Walter M Williams High,Piedmont Triad Region,Exceeded,87.8,50.0,62.9,89.4,88.3,89.9,N
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont Triad Region,NotMet,100.0,61.5,66.7,94.4,87.3,90.0,N
Alamance-Burlington Schools,010403,Western Middle,Piedmont Triad Region,NotMet,100.0,,,,,,
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont Triad Region,Met,100.0,,,,,,
Alexander County Schools,020,Alexander County Schools,Northwest Region,,100.0,66.6,69.7,94.3,86.0,88.2,
Alexander County Schools,020302,Alexander Central High,Northwest Region,Exceeded,100.0,66.6,69.7,94.3,86.0,88.2,Y
Alexander County Schools,020304,Bethlehem Elementary,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020306,East Alexander Middle,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020308,Ellendale Elementary,Northwest Region,NotMet,100.0,,,,,,
Alexander County Schools,020316,Hiddenite Elementary,Northwest Region,NotMet,100.0,,,,,,
Alexander County Schools,020320,Stony Point Elementary,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest Region,Met,100.0,,,,,,
Alexander County Schools,020328,Taylorsville Elementary,Northwest Region,Exceeded,100.0,,,,,,
Alexander County Schools,020330,West Alexander Middle,Northwest Region,Exceeded,100.0,,,,,,
Alexander County Schools,020332,Wittenburg Elementary,Northwest Region,Met,100.0,,,,,,
Alleghany County Schools,030,Alleghany County Schools,Northwest Region,,100.0,51.9,57.5,95.0,85.0,88.3,
Alleghany County Schools,030304,Alleghany High,Northwest Region,NotMet,100.0,51.9,57.5,95.0,85.0,88.3,Y
Alleghany County Schools,030308,Glade Creek Elementary,Northwest Region,Met,100.0,,,,,,
Alleghany County Schools,030316,Piney Creek Elementary,Northwest Region,Met,100.0,,,,,,
Alleghany County Schools,030320,Sparta Elementary,Northwest Region,Exceeded,100.0,,,,,,
Anson County Schools,040,Anson County Schools,Southwest Region,,96.3,29.6,26.9,95.0,82.3,87.6,
Anson County Schools,040304,Anson Co. Early College High,Southwest Region,NotMet,100.0,62.7,,95.0,95.0,95.0,Y
