District Name,School Code,School Name,SBE District,EVAAS Growth Status,EVAAS Growth Index,Percent Participation Targets Met,ACT Percent,ACT WorkKeys Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Graduation Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State of North Carolina,NC,State of North Carolina,,,,92.9,58.8,73.3,>95,86.5,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010,Alamance-Burlington Schools,Piedmont-Triad,,,94.1,49.5,69.8,92.6,82.4,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010303,Alamance-Burlington Middle/Early College,Piedmont-Triad,Met,0.29,100.0,84.2,*,>95,>95,>95,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,Exceeded,3.27,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010308,Altamahaw Ossipee Elem,Piedmont-Triad,Exceeded,2.67,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,Met,-0.45,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010311,Career Technical Education Center,Piedmont-Triad,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,NotMet,-5.55,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,Met,0.7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,Exceeded,4.03,81.1,58.9,79.0,85.9,84.1,86.9,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010326,Eastlawn Elementary,Piedmont-Triad,Met,-0.57,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,Met,-1.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,Met,-1.86,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010346,B Everett Jordan Elem,Piedmont-Triad,NotMet,-3.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010347,Garrett Elementary,Piedmont-Triad,Met,-1.64,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010348,Graham High,Piedmont-Triad,Exceeded,2.44,90.3,36.4,62.0,>95,79.0,85.7,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,Met,-0.42,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance-Burlington Schools,010351,Grove Park Elementary,Piedmont-Triad,Exceeded,4.87,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
