District Name,"School
Code",School Name,Year,State Board Region,Grade Span,Missed Days due to Hurricane Florence,Subgroup,ACT Subtest or Composite,Percent Meeting Benchmark or Standard ACT
State of North Carolina,NC,State of North Carolina,'18-'19,,,,All Students,ACT composite score of 17 or higher,55.8
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Female,ACT composite score of 17 or higher,59
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Male,ACT composite score of 17 or higher,52.5
State of North Carolina,NC,State of North Carolina,'18-'19,,,,American Indian,ACT composite score of 17 or higher,37.4
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Asian,ACT composite score of 17 or higher,77.9
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Black,ACT composite score of 17 or higher,32
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Hispanic,ACT composite score of 17 or higher,40.2
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Two or More Races,ACT composite score of 17 or higher,56.5
State of North Carolina,NC,State of North Carolina,'18-'19,,,,White,ACT composite score of 17 or higher,70.3
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Economically Disadvantaged,ACT composite score of 17 or higher,35.8
State of North Carolina,NC,State of North Carolina,'18-'19,,,,English Learner,ACT composite score of 17 or higher,6.9
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Students With Disabilities,ACT composite score of 17 or higher,15.3
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Academically or Intellectually Gifted,ACT composite score of 17 or higher,95
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Homeless,ACT composite score of 17 or higher,31.8
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Foster Care,ACT composite score of 17 or higher,33.7
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Military Connected,ACT composite score of 17 or higher,66.4
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Migrant,ACT composite score of 17 or higher,18.4
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Not Economically Disadvantaged,ACT composite score of 17 or higher,67.9
State of North Carolina,NC,State of North Carolina,'18-'19,,,,Not a Student with Disabilities,ACT composite score of 17 or higher,59.1
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,All Students,ACT composite score of 17 or higher,54.6
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,Female,ACT composite score of 17 or higher,56.7
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,Male,ACT composite score of 17 or higher,52.2
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,American Indian,ACT composite score of 17 or higher,27.3
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,Asian,ACT composite score of 17 or higher,70.8
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,Black,ACT composite score of 17 or higher,35.8
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,Hispanic,ACT composite score of 17 or higher,36.9
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,Two or More Races,ACT composite score of 17 or higher,63.2
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,White,ACT composite score of 17 or higher,84.1
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,Economically Disadvantaged,ACT composite score of 17 or higher,34.3
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'18-'19,Southwest,,3,English Learner,ACT composite score of 17 or higher,9
