ï»¿District Name,"School
Code",School Name,Year,State Board Region,Grade Span,Subgroup,ACT Subtest or Composite,Percent Meeting Benchmark or Standard,Missed Days due to Hurricane Florence
State of North Carolina,NC,State of North Carolina,'17-'18,,,All Students,ACT composite score of 17 or higher,57.9,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Female,ACT composite score of 17 or higher,61.3,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Male,ACT composite score of 17 or higher,54.4,
State of North Carolina,NC,State of North Carolina,'17-'18,,,American Indian,ACT composite score of 17 or higher,40.8,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Asian,ACT composite score of 17 or higher,75.5,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Black,ACT composite score of 17 or higher,34.4,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Hispanic,ACT composite score of 17 or higher,42.7,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Two or More Races,ACT composite score of 17 or higher,58.3,
State of North Carolina,NC,State of North Carolina,'17-'18,,,White,ACT composite score of 17 or higher,72.3,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Economically Disadvantaged,ACT composite score of 17 or higher,38.7,
State of North Carolina,NC,State of North Carolina,'17-'18,,,English Learner,ACT composite score of 17 or higher,16.2,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Students With Disabilities,ACT composite score of 17 or higher,17.1,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Academically or Intellectually Gifted,ACT composite score of 17 or higher,>95,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Homeless,ACT composite score of 17 or higher,28,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Foster Care,ACT composite score of 17 or higher,30.8,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Military Connected,ACT composite score of 17 or higher,66.9,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,All Students,ACT composite score of 17 or higher,56.3,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Female,ACT composite score of 17 or higher,59.6,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Male,ACT composite score of 17 or higher,52.8,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,American Indian,ACT composite score of 17 or higher,24,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Asian,ACT composite score of 17 or higher,69.6,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Black,ACT composite score of 17 or higher,37,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Hispanic,ACT composite score of 17 or higher,38.9,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Two or More Races,ACT composite score of 17 or higher,63.3,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,White,ACT composite score of 17 or higher,86.2,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Economically Disadvantaged,ACT composite score of 17 or higher,36.4,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,English Learner,ACT composite score of 17 or higher,17,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Students With Disabilities,ACT composite score of 17 or higher,15.7,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Academically or Intellectually Gifted,ACT composite score of 17 or higher,>95,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Homeless,ACT composite score of 17 or higher,18,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Foster Care,ACT composite score of 17 or higher,21.4,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,All Students,ACT composite score of 17 or higher,88.3,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Female,ACT composite score of 17 or higher,89.6,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Male,ACT composite score of 17 or higher,87.3,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Asian,ACT composite score of 17 or higher,94.5,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Black,ACT composite score of 17 or higher,75.6,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Hispanic,ACT composite score of 17 or higher,61.5,
Charlotte-Mecklenburg Schools,600302,Ardrey Kell High,'17-'18,Southwest,12-Sep,Two or More Races,ACT composite score of 17 or higher,90.9,
