,reporting_year,school_code,subject,subgroup,total_pct,den,school_name
12,2016,600302,ACT Composite,ALL,90.6,615,Ardrey Kell High School
20,2016,600302,ACT Workkeys,ALL,92.4,105,Ardrey Kell High School
33,2016,600312,ACT Composite,ALL,81.1,546,William Amos Hough High School
41,2016,600312,ACT Workkeys,ALL,91.2,114,William Amos Hough High School
44,2016,600334,ACT Composite,ALL,89.7,97,Cato Middle College High School
64,2016,600361,ACT Composite,ALL,63.1,458,Butler High School
72,2016,600361,ACT Workkeys,ALL,77.9,95,Butler High School
133,2016,600364,ACT Composite,ALL,63.6,33,Military and Global Leadership Academy
153,2016,600377,ACT Composite,ALL,61.5,335,East Mecklenburg High School
161,2016,600377,ACT Workkeys,ALL,82.5,40,East Mecklenburg High School
174,2016,600386,ACT Composite,ALL,57.9,19,Hawthorne Academy of Health Sciences
194,2016,600397,ACT Composite,ALL,27.6,257,Garinger High School
202,2016,600397,ACT Workkeys,ALL,50.0,28,Garinger High School
215,2016,600405,ACT Composite,ALL,23.5,264,Harding University High School
223,2016,600405,ACT Workkeys,ALL,66.7,33,Harding University High School
236,2016,600415,ACT Composite,ALL,46.1,336,Hopewell High School
244,2016,600415,ACT Workkeys,ALL,82.0,100,Hopewell High School
257,2016,600426,ACT Composite,ALL,55.3,494,Independence High School
265,2016,600426,ACT Workkeys,ALL,91.0,67,Independence High School
268,2016,600443,ACT Composite,ALL,94.7,94,Levine Middle College High
288,2016,600445,ACT Composite,ALL,60.4,535,Mallard Creek High School
296,2016,600445,ACT Workkeys,ALL,75.2,121,Mallard Creek High School
309,2016,600457,ACT Composite,ALL,28.1,327,Rocky River High School
317,2016,600457,ACT Workkeys,ALL,57.4,61,Rocky River High School
330,2016,600466,ACT Composite,ALL,80.8,600,Myers Park High School
338,2016,600466,ACT Workkeys,ALL,83.9,31,Myers Park High School
351,2016,600480,ACT Composite,ALL,48.3,348,North Mecklenburg High School
359,2016,600480,ACT Workkeys,ALL,64.4,90,North Mecklenburg High School
400,2016,600482,ACT Composite,ALL,82.6,138,Northwest School of the Arts
420,2016,600496,ACT Composite,ALL,64.6,336,Phillip O. Berry Academy of Technology
428,2016,600496,ACT Workkeys,ALL,81.1,334,Phillip O. Berry Academy of Technology
441,2016,600498,ACT Composite,ALL,75.6,45,Performance Learning Center
461,2016,600508,ACT Composite,ALL,95,438,Providence High School
469,2016,600508,ACT Workkeys,ALL,95,86,Providence High School
482,2016,600535,ACT Composite,ALL,69.3,599,South Mecklenburg High School
490,2016,600535,ACT Workkeys,ALL,75.9,116,South Mecklenburg High School
513,2016,600576,ACT Composite,ALL,19.6,275,West Charlotte High School
521,2016,600576,ACT Workkeys,ALL,55.4,56,West Charlotte High School
534,2016,600579,ACT Composite,ALL,27.8,345,West Mecklenburg High School
542,2016,600579,ACT Workkeys,ALL,19.4,36,West Mecklenburg High School
555,2016,600592,ACT Composite,ALL,29.1,302,Julius L. Chambers High School
563,2016,600592,ACT Workkeys,ALL,55.8,95,Julius L. Chambers High School
576,2016,600302,ACT Composite,FEM,92.5,615,Ardrey Kell High School
584,2016,600302,ACT Workkeys,FEM,95,105,Ardrey Kell High School
597,2016,600312,ACT Composite,FEM,84.3,546,William Amos Hough High School
605,2016,600312,ACT Workkeys,FEM,89.5,114,William Amos Hough High School
608,2016,600334,ACT Composite,FEM,86.8,97,Cato Middle College High School
628,2016,600361,ACT Composite,FEM,66.1,458,Butler High School
636,2016,600361,ACT Workkeys,FEM,77.8,95,Butler High School
697,2016,600364,ACT Composite,FEM,66.7,33,Military and Global Leadership Academy
717,2016,600377,ACT Composite,FEM,64.5,335,East Mecklenburg High School
725,2016,600377,ACT Workkeys,FEM,85.7,40,East Mecklenburg High School
738,2016,600386,ACT Composite,FEM,50.0,19,Hawthorne Academy of Health Sciences
758,2016,600397,ACT Composite,FEM,28.8,257,Garinger High School
766,2016,600397,ACT Workkeys,FEM,0,28,Garinger High School
779,2016,600405,ACT Composite,FEM,25.0,264,Harding University High School
787,2016,600405,ACT Workkeys,FEM,77.8,33,Harding University High School
800,2016,600415,ACT Composite,FEM,48.8,336,Hopewell High School
808,2016,600415,ACT Workkeys,FEM,73.2,100,Hopewell High School
821,2016,600426,ACT Composite,FEM,52.8,494,Independence High School
829,2016,600426,ACT Workkeys,FEM,80.0,67,Independence High School
832,2016,600443,ACT Composite,FEM,95,94,Levine Middle College High
852,2016,600445,ACT Composite,FEM,63.1,535,Mallard Creek High School
860,2016,600445,ACT Workkeys,FEM,76.1,121,Mallard Creek High School
873,2016,600457,ACT Composite,FEM,29.0,327,Rocky River High School
881,2016,600457,ACT Workkeys,FEM,53.6,61,Rocky River High School
894,2016,600466,ACT Composite,FEM,84.4,600,Myers Park High School
902,2016,600466,ACT Workkeys,FEM,78.6,31,Myers Park High School
915,2016,600480,ACT Composite,FEM,52.6,348,North Mecklenburg High School
923,2016,600480,ACT Workkeys,FEM,66.0,90,North Mecklenburg High School
964,2016,600482,ACT Composite,FEM,84.8,138,Northwest School of the Arts
984,2016,600496,ACT Composite,FEM,69.8,336,Phillip O. Berry Academy of Technology
992,2016,600496,ACT Workkeys,FEM,79.3,334,Phillip O. Berry Academy of Technology
1005,2016,600498,ACT Composite,FEM,78.8,45,Performance Learning Center
