ï»¿District Name,School Code,School Name,Year,State Board Region,Grade Span,Subgroup,ACT/ACT WorkKeys Assessments Indicator Percent,Passing NC Math 3 Percent,4-Year Cohort Graduation Rate Percent,5-Year Cohort Graduation Rate Percent,Missed Days due to Hurricane Florence
State of North Carolina,NC,State of North Carolina,'17-'18,,,All Students,66.5,92.9,86.3,88,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Female,69,94.8,89.6,90.7,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Male,64,91,83.2,85.4,
State of North Carolina,NC,State of North Carolina,'17-'18,,,American Indian,53.7,93.2,84.4,85.4,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Asian,80.9,95,93.4,94.9,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Black,43.4,90,83.2,85.9,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Hispanic,54.4,92,79.9,83,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Two or More Races,65.6,93.1,84.1,86.3,
State of North Carolina,NC,State of North Carolina,'17-'18,,,White,79.7,94.4,89.6,90.2,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Economically Disadvantaged,49.8,89.5,80.3,84.1,
State of North Carolina,NC,State of North Carolina,'17-'18,,,English Learner,24.4,86.2,68.4,63.7,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Students With Disabilities,21.9,54.3,69.1,74.1,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Academically or Intellectually Gifted,95,95,95,95,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Homeless,44.2,88.8,67.2,*,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Foster Care,41.7,82.4,73.4,*,
State of North Carolina,NC,State of North Carolina,'17-'18,,,Military Connected,75,95,*,*,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,All Students,61.6,92.6,85.4,90.4,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Female,63.4,94.3,89.7,93.2,
Charlotte-Mecklenburg Schools,600,Charlotte-Mecklenburg Schools,'17-'18,Southwest,,Male,59.7,90.9,81,87.5,
