lea_state,lea,school_state,school,id,year,category,american_indian,asian,pacific_island,hispanic,black,white,two_or_more,total,swd_idea,swd_401,el
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,600302,2015,School days missed due to out-of-school suspension,0,2,0,36,391,99,12,540,23,0,0
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,600302,2015,Total enrollment,4,454,4,235,355,1759,70,2881,167,64,73
NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,600302,2017,School days missed due to out-of-school suspension,0,14,0,22,43,160,1,240,9,3,8
NC,Charlotte-Mecklenburg Schools,NC,Butler High,600361,2015,School days missed due to out-of-school suspension,0,1,0,280,528,179,26,1014,90,48,117
NC,Charlotte-Mecklenburg Schools,NC,Butler High,600361,2015,Total enrollment,10,88,2,409,676,853,88,2126,170,64,103
NC,Charlotte-Mecklenburg Schools,NC,Butler High,600361,2017,School days missed due to out-of-school suspension,2,5,0,183,489,119,20,818,180,35,43
NC,Charlotte-Mecklenburg Schools,NC,Charlotte Engineering Early College-UNCC,600567,2017,School days missed due to out-of-school suspension,0,0,0,4,1,0,0,5,0,0,0
NC,Charlotte-Mecklenburg Schools,NC,East Mecklenburg High,600377,2015,School days missed due to out-of-school suspension,10,62,0,149,903,81,18,1223,220,26,92
NC,Charlotte-Mecklenburg Schools,NC,East Mecklenburg High,600377,2015,Total enrollment,10,166,2,406,820,385,76,1865,173,31,151
NC,Charlotte-Mecklenburg Schools,NC,East Mecklenburg High,600377,2017,School days missed due to out-of-school suspension,0,17,0,254,1382,73,21,1747,265,27,104
NC,Charlotte-Mecklenburg Schools,NC,eLearning Academy,600499,2017,School days missed due to out-of-school suspension,3,0,0,0,0,22,0,25,3,0,0
NC,Charlotte-Mecklenburg Schools,NC,Garinger High,600397,2015,School days missed due to out-of-school suspension,0,24,0,448,2723,42,190,3427,621,88,333
NC,Charlotte-Mecklenburg Schools,NC,Garinger High,600397,2015,Total enrollment,7,121,2,757,907,61,31,1886,227,16,448
NC,Charlotte-Mecklenburg Schools,NC,Garinger High,600397,2017,School days missed due to out-of-school suspension,0,75,0,374,2219,116,24,2808,386,93,347
NC,Charlotte-Mecklenburg Schools,NC,Harding University High,600405,2015,School days missed due to out-of-school suspension,0,1,0,162,1948,8,19,2138,405,110,95
NC,Charlotte-Mecklenburg Schools,NC,Harding University High,600405,2015,Total enrollment,10,55,0,520,943,43,25,1596,212,28,277
NC,Charlotte-Mecklenburg Schools,NC,Harding University High,600405,2017,School days missed due to out-of-school suspension,0,0,0,194,1556,2,0,1752,287,119,98
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,600386,2015,School days missed due to out-of-school suspension,0,0,0,3,10,0,0,13,0,2,0
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,600386,2015,Total enrollment,2,4,0,31,88,19,4,148,0,7,2
NC,Charlotte-Mecklenburg Schools,NC,Hawthorne High,600386,2017,School days missed due to out-of-school suspension,0,0,0,22,107,0,0,129,0,0,5
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,600415,2015,School days missed due to out-of-school suspension,19,0,0,159,1333,182,94,1787,203,112,77
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,600415,2015,Total enrollment,10,31,0,229,835,520,49,1674,173,40,70
NC,Charlotte-Mecklenburg Schools,NC,Hopewell High,600415,2017,School days missed due to out-of-school suspension,8,0,3,129,824,170,16,1150,180,50,10
NC,Charlotte-Mecklenburg Schools,NC,Independence High,600426,2015,School days missed due to out-of-school suspension,3,65,0,339,820,161,96,1484,311,69,160
