Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,Turning Point Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,2,0,11,71,2,2,88,20,2,5
NC,Charlotte-Mecklenburg Schools,NC,Turning Point Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,0,0,0,23,2,2,27,5,2,0
NC,Charlotte-Mecklenburg Schools,NC,Turning Point Academy,3.70297E+11,2015,Total enrollment,M,0,2,0,11,98,5,2,118,31,2,5
NC,Charlotte-Mecklenburg Schools,NC,Turning Point Academy,3.70297E+11,2015,Total enrollment,F,0,0,0,0,35,2,2,39,7,2,0
NC,Charlotte-Mecklenburg Schools,NC,Cochrane Collegiate Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,0,2,0,29,38,2,2,73,8,2,17
NC,Charlotte-Mecklenburg Schools,NC,Cochrane Collegiate Academy,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,0,0,0,17,32,2,2,53,2,2,8
NC,Charlotte-Mecklenburg Schools,NC,Cochrane Collegiate Academy,3.70297E+11,2015,Total enrollment,M,0,11,0,188,167,11,5,382,34,8,80
NC,Charlotte-Mecklenburg Schools,NC,Cochrane Collegiate Academy,3.70297E+11,2015,Total enrollment,F,0,8,2,167,179,5,5,366,19,5,59
NC,Charlotte-Mecklenburg Schools,NC,East Mecklenburg High,3.70297E+11,2015,Students absent 15 or more school dates during school year,M,2,17,0,47,80,32,8,186,32,2,20
NC,Charlotte-Mecklenburg Schools,NC,East Mecklenburg High,3.70297E+11,2015,Students absent 15 or more school dates during school year,F,2,11,0,53,101,32,8,207,29,2,17
NC,Charlotte-Mecklenburg Schools,NC,East Mecklenburg High,3.70297E+11,2015,Total enrollment,M,2,77,0,197,398,182,35,891,109,17,83
NC,Charlotte-Mecklenburg Schools,NC,East Mecklenburg High,3.70297E+11,2015,Total enrollment,F,8,89,2,209,422,203,41,974,64,14,68
