,reporting_year,school_code,grade_span,title_1,subgroup,subject,den,total_pct,school_name
0,2018,600302,09-12,,ALL,ACT,771,88.3,Ardrey Kell High School
1,2018,600302,09-12,,FEM,ACT,355,89.6,Ardrey Kell High School
2,2018,600302,09-12,,MALE,ACT,416,87.3,Ardrey Kell High School
3,2018,600302,09-12,,ASIA,ACT,145,94.5,Ardrey Kell High School
4,2018,600302,09-12,,BLCK,ACT,86,75.6,Ardrey Kell High School
5,2018,600302,09-12,,HISP,ACT,65,61.5,Ardrey Kell High School
6,2018,600302,09-12,,MULT,ACT,22,90.9,Ardrey Kell High School
7,2018,600302,09-12,,WHTE,ACT,450,92.4,Ardrey Kell High School
8,2018,600302,09-12,,EDS,ACT,53,71.7,Ardrey Kell High School
9,2018,600302,09-12,,ELS,ACT,44,56.8,Ardrey Kell High School
10,2018,600302,09-12,,SWD,ACT,33,51.5,Ardrey Kell High School
11,2018,600302,09-12,,AIG,ACT,156,95,Ardrey Kell High School
12,2018,600302,09-12,,ALL,ACT4B,771,44.2,Ardrey Kell High School
13,2018,600302,09-12,,FEM,ACT4B,355,46.2,Ardrey Kell High School
14,2018,600302,09-12,,MALE,ACT4B,416,42.5,Ardrey Kell High School
15,2018,600302,09-12,,ASIA,ACT4B,145,61.4,Ardrey Kell High School
16,2018,600302,09-12,,BLCK,ACT4B,86,20.9,Ardrey Kell High School
17,2018,600302,09-12,,HISP,ACT4B,65,20.0,Ardrey Kell High School
18,2018,600302,09-12,,MULT,ACT4B,22,36.4,Ardrey Kell High School
19,2018,600302,09-12,,WHTE,ACT4B,450,47.1,Ardrey Kell High School
20,2018,600302,09-12,,EDS,ACT4B,53,13.2,Ardrey Kell High School
21,2018,600302,09-12,,ELS,ACT4B,44,13.6,Ardrey Kell High School
22,2018,600302,09-12,,SWD,ACT4B,33,15.2,Ardrey Kell High School
23,2018,600302,09-12,,AIG,ACT4B,156,83.3,Ardrey Kell High School
24,2018,600302,09-12,,ALL,ACT5B,770,36.8,Ardrey Kell High School
25,2018,600302,09-12,,FEM,ACT5B,354,44.1,Ardrey Kell High School
26,2018,600302,09-12,,MALE,ACT5B,416,30.5,Ardrey Kell High School
27,2018,600302,09-12,,ASIA,ACT5B,145,55.9,Ardrey Kell High School
28,2018,600302,09-12,,BLCK,ACT5B,86,16.3,Ardrey Kell High School
29,2018,600302,09-12,,HISP,ACT5B,64,18.8,Ardrey Kell High School
30,2018,600302,09-12,,MULT,ACT5B,22,31.8,Ardrey Kell High School
31,2018,600302,09-12,,WHTE,ACT5B,450,37.3,Ardrey Kell High School
32,2018,600302,09-12,,EDS,ACT5B,53,9.4,Ardrey Kell High School
33,2018,600302,09-12,,ELS,ACT5B,43,9.3,Ardrey Kell High School
34,2018,600302,09-12,,SWD,ACT5B,33,5,Ardrey Kell High School
35,2018,600302,09-12,,AIG,ACT5B,156,73.1,Ardrey Kell High School
36,2018,600302,09-12,,ALL,ACTALL,3854,64.6,Ardrey Kell High School
37,2018,600302,09-12,,FEM,ACTALL,1774,68.2,Ardrey Kell High School
38,2018,600302,09-12,,MALE,ACTALL,2080,61.6,Ardrey Kell High School
39,2018,600302,09-12,,ASIA,ACTALL,725,78.8,Ardrey Kell High School
40,2018,600302,09-12,,BLCK,ACTALL,430,45.8,Ardrey Kell High School
41,2018,600302,09-12,,HISP,ACTALL,324,37.7,Ardrey Kell High School
42,2018,600302,09-12,,MULT,ACTALL,110,60.0,Ardrey Kell High School
43,2018,600302,09-12,,WHTE,ACTALL,2250,67.8,Ardrey Kell High School
44,2018,600302,09-12,,EDS,ACTALL,265,37.0,Ardrey Kell High School
45,2018,600302,09-12,,ELS,ACTALL,219,33.3,Ardrey Kell High School
46,2018,600302,09-12,,SWD,ACTALL,165,27.3,Ardrey Kell High School
47,2018,600302,09-12,,AIG,ACTALL,780,91.4,Ardrey Kell High School
48,2018,600302,09-12,,ALL,ACTEN,771,75.4,Ardrey Kell High School
49,2018,600302,09-12,,FEM,ACTEN,355,78.6,Ardrey Kell High School
50,2018,600302,09-12,,MALE,ACTEN,416,72.6,Ardrey Kell High School
51,2018,600302,09-12,,ASIA,ACTEN,145,86.9,Ardrey Kell High School
52,2018,600302,09-12,,BLCK,ACTEN,86,59.3,Ardrey Kell High School
53,2018,600302,09-12,,HISP,ACTEN,65,43.1,Ardrey Kell High School
54,2018,600302,09-12,,MULT,ACTEN,22,72.7,Ardrey Kell High School
55,2018,600302,09-12,,WHTE,ACTEN,450,79.6,Ardrey Kell High School
56,2018,600302,09-12,,EDS,ACTEN,53,49.1,Ardrey Kell High School
57,2018,600302,09-12,,ELS,ACTEN,44,36.4,Ardrey Kell High School
58,2018,600302,09-12,,SWD,ACTEN,33,39.4,Ardrey Kell High School
59,2018,600302,09-12,,AIG,ACTEN,156,95,Ardrey Kell High School
