Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,Huntingtowne Farms Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3197807,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Huntingtowne Farms Elementary,3.70297E+11,2015,Salary Amount for Teachers,2407562,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Huntingtowne Farms Elementary,3.70297E+11,2015,Instructional Aides,148199,10,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Huntingtowne Farms Elementary,3.70297E+11,2015,School Administration Staff,247418,2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Huntingtowne Farms Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),394626,6.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Huntingtowne Farms Elementary,3.70297E+11,2015,Non-Personnel Expenditures,364308,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Huntingtowne Farms Elementary,3.70297E+11,2015,Total enrollment,,,0,13,0,478,178,64,10,743,53,7,265
NC,Charlotte-Mecklenburg Schools,NC,Idlewild Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),4002474,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Idlewild Elementary,3.70297E+11,2015,Salary Amount for Teachers,2799538,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Idlewild Elementary,3.70297E+11,2015,Instructional Aides,319572,19.5,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Idlewild Elementary,3.70297E+11,2015,School Administration Staff,303947,2.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Idlewild Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),579415,10.66,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Idlewild Elementary,3.70297E+11,2015,Non-Personnel Expenditures,419416,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Idlewild Elementary,3.70297E+11,2015,Total enrollment,,,2,151,0,412,385,76,7,1033,62,7,334
NC,Charlotte-Mecklenburg Schools,NC,Independence High,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),9062674,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Independence High,3.70297E+11,2015,Salary Amount for Teachers,7465745,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Independence High,3.70297E+11,2015,Instructional Aides,69460,15.99,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Independence High,3.70297E+11,2015,School Administration Staff,490191,5.42,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Independence High,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),1037277,19.75,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Independence High,3.70297E+11,2015,Non-Personnel Expenditures,771111,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Independence High,3.70297E+11,2015,Total enrollment,,,10,139,2,640,766,817,88,2462,242,49,244
NC,Charlotte-Mecklenburg Schools,NC,J H Gunn Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),3019376,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,J H Gunn Elementary,3.70297E+11,2015,Salary Amount for Teachers,1991341,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,J H Gunn Elementary,3.70297E+11,2015,Instructional Aides,175438,9.49,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,J H Gunn Elementary,3.70297E+11,2015,School Administration Staff,222660,2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,J H Gunn Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),629935,9.33,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,J H Gunn Elementary,3.70297E+11,2015,Non-Personnel Expenditures,298687,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,J H Gunn Elementary,3.70297E+11,2015,Total enrollment,,,4,19,2,313,328,82,22,770,62,7,121
NC,Charlotte-Mecklenburg Schools,NC,Kennedy Middle,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2834899,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Kennedy Middle,3.70297E+11,2015,Salary Amount for Teachers,2197469,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Kennedy Middle,3.70297E+11,2015,Instructional Aides,125503,7,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Kennedy Middle,3.70297E+11,2015,School Administration Staff,226175,2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Kennedy Middle,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),285750,4.91,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Kennedy Middle,3.70297E+11,2015,Non-Personnel Expenditures,232770,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Kennedy Middle,3.70297E+11,2015,Total enrollment,,,2,52,2,250,319,112,22,759,98,22,67
NC,Charlotte-Mecklenburg Schools,NC,Lansdowne Elementary,3.70297E+11,2015,Salary Amount for Total Personnel (instructional support services and school administration),2702329,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lansdowne Elementary,3.70297E+11,2015,Salary Amount for Teachers,1939807,,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lansdowne Elementary,3.70297E+11,2015,Instructional Aides,225497,12.5,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lansdowne Elementary,3.70297E+11,2015,School Administration Staff,233921,2,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lansdowne Elementary,3.70297E+11,2015,Support Services Staff (for Pupils and for Instructional Staff),303102,5.5,,,,,,,,,,,
NC,Charlotte-Mecklenburg Schools,NC,Lansdowne Elementary,3.70297E+11,2015,Non-Personnel Expenditures,153360,,,,,,,,,,,,
