,lea_state,lea,school_state,school,id,year,category,sex,american_indian,asian,pacific_island,hispanic,black,white,two_or_more,total,swd_idea,swd_401,el
0,NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,370297000000.0,2015,School days missed due to out-of-school suspension,M,0,10,0,21,2504,67,5,2607,813,105,19
1,NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,370297000000.0,2015,School days missed due to out-of-school suspension,F,0,0,0,1,1263,10,0,1274,179,0,0
2,NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,370297000000.0,2015,Total enrollment,M,5,41,2,56,725,11,11,851,160,20,47
3,NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,370297000000.0,2015,Total enrollment,F,5,44,2,56,704,11,11,833,76,8,29
4,NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,370297000000.0,2015,School days missed due to out-of-school suspension,M,38,3,0,446,2318,86,135,3026,630,68,161
5,NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,370297000000.0,2015,School days missed due to out-of-school suspension,F,20,20,0,144,987,2,37,1210,205,30,39
6,NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,370297000000.0,2015,Total enrollment,M,8,47,0,239,647,77,29,1047,175,14,92
7,NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,370297000000.0,2015,Total enrollment,F,8,47,2,188,599,68,35,947,70,11,59
16,NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,370297000000.0,2015,School days missed due to out-of-school suspension,M,0,2,0,31,387,96,12,528,23,0,0
17,NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,370297000000.0,2015,School days missed due to out-of-school suspension,F,0,0,0,5,4,3,0,12,0,0,0
18,NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,370297000000.0,2015,Total enrollment,M,2,224,2,125,191,890,38,1472,112,38,44
19,NC,Charlotte-Mecklenburg Schools,NC,Ardrey Kell High,370297000000.0,2015,Total enrollment,F,2,230,2,110,164,869,32,1409,55,26,29
20,NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,370297000000.0,2015,School days missed due to out-of-school suspension,M,0,0,0,66,183,20,1,270,19,32,25
21,NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,370297000000.0,2015,School days missed due to out-of-school suspension,F,4,0,0,45,52,0,2,103,12,0,2
22,NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,370297000000.0,2015,Total enrollment,M,2,2,0,173,182,29,5,393,40,17,44
23,NC,Charlotte-Mecklenburg Schools,NC,Military and Global Leadership Academy,370297000000.0,2015,Total enrollment,F,5,2,0,149,134,17,11,318,19,2,29
24,NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,370297000000.0,2015,School days missed due to out-of-school suspension,M,0,0,0,354,1886,38,45,2323,300,133,145
25,NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,370297000000.0,2015,School days missed due to out-of-school suspension,F,0,15,0,510,843,40,37,1445,40,10,61
26,NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,370297000000.0,2015,Total enrollment,M,8,26,2,242,527,74,32,911,124,17,83
27,NC,Charlotte-Mecklenburg Schools,NC,Rocky River High,370297000000.0,2015,Total enrollment,F,2,23,0,230,446,59,23,783,58,8,59
28,NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,370297000000.0,2015,School days missed due to out-of-school suspension,M,0,8,0,16,96,126,5,251,66,14,8
29,NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,370297000000.0,2015,School days missed due to out-of-school suspension,F,0,0,0,12,82,24,0,118,29,0,2
30,NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,370297000000.0,2015,Total enrollment,M,5,38,5,101,137,965,32,1283,148,56,35
31,NC,Charlotte-Mecklenburg Schools,NC,William Amos Hough High,370297000000.0,2015,Total enrollment,F,8,29,0,98,140,1001,26,1302,79,38,17
32,NC,Charlotte-Mecklenburg Schools,NC,Garinger High,370297000000.0,2015,School days missed due to out-of-school suspension,M,0,24,0,366,1949,35,160,2534,546,63,322
33,NC,Charlotte-Mecklenburg Schools,NC,Garinger High,370297000000.0,2015,School days missed due to out-of-school suspension,F,0,0,0,82,774,7,30,893,75,25,11
34,NC,Charlotte-Mecklenburg Schools,NC,Garinger High,370297000000.0,2015,Total enrollment,M,5,62,0,401,479,32,17,996,154,11,260
35,NC,Charlotte-Mecklenburg Schools,NC,Garinger High,370297000000.0,2015,Total enrollment,F,2,59,2,356,428,29,14,890,73,5,188
36,NC,Charlotte-Mecklenburg Schools,NC,Harding University High,370297000000.0,2015,School days missed due to out-of-school suspension,M,0,1,0,119,1018,3,9,1150,275,71,58
37,NC,Charlotte-Mecklenburg Schools,NC,Harding University High,370297000000.0,2015,School days missed due to out-of-school suspension,F,0,0,0,43,930,5,10,988,130,39,37
38,NC,Charlotte-Mecklenburg Schools,NC,Harding University High,370297000000.0,2015,Total enrollment,M,5,26,0,287,461,20,17,816,136,20,161
39,NC,Charlotte-Mecklenburg Schools,NC,Harding University High,370297000000.0,2015,Total enrollment,F,5,29,0,233,482,23,8,780,76,8,116
