Lea State,LEA,School State,School,ID,Year,Category,Sex,American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),EL
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,School days missed due to out-of-school suspension,M,0,10,0,21,2504,67,5,2607,813,105,19
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,School days missed due to out-of-school suspension,F,0,0,0,1,1263,10,0,1274,179,0,0
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,Total enrollment,M,5,41,2,56,725,11,11,851,160,20,47
NC,Charlotte-Mecklenburg Schools,NC,West Charlotte High,3.70297E+11,2015,Total enrollment,F,5,44,2,56,704,11,11,833,76,8,29
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,School days missed due to out-of-school suspension,M,38,3,0,446,2318,86,135,3026,630,68,161
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,School days missed due to out-of-school suspension,F,20,20,0,144,987,2,37,1210,205,30,39
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,Total enrollment,M,8,47,0,239,647,77,29,1047,175,14,92
NC,Charlotte-Mecklenburg Schools,NC,West Mecklenburg High,3.70297E+11,2015,Total enrollment,F,8,47,2,188,599,68,35,947,70,11,59
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,School days missed due to out-of-school suspension,M,0,0,0,35,48,22,0,105,24,24,11
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,School days missed due to out-of-school suspension,F,0,8,0,18,105,0,3,134,22,0,11
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,Total enrollment,M,0,17,2,68,95,59,8,249,49,11,20
NC,Charlotte-Mecklenburg Schools,NC,Olympic High - Renaissance School,3.70297E+11,2015,Total enrollment,F,2,23,0,89,161,89,14,378,34,8,17
NC,Charlotte-Mecklenburg Schools,NC,Olympic High-Math Eng Tech Science,3.70297E+11,2015,School days missed due to out-of-school suspension,M,0,0,0,0,55,35,13,103,17,0,0
